All Kickers  Season  CBS Average Projections Standard Categories
,,,Upcoming,,,Trends,,Pos Rank,Total,,1-19,,20-29,,30-39,,40-49,,50+,,XPS,,FPTS,,
Avail,Player,Opp,OVP,Bye,Own,Start,Expert,FG,Att,FG,ATT,FG,ATT,FG,Att,FG,Att,FG,Att,XP,Att,Avg,Total,
FA,Zane Gonzalez K | ARI,DET,2,12,1,0,30,17,24,0.137,0.137,3.77,3.8,6.5,7.3,4.08,6.1,2.91,6.5,25,29,4.06,65
FA,Clayton Hatfield K | IND,@LAC,8,6,0,0,N/R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
FA,John Baron K | CHI,GB,21,6,0,0,N/R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
FA,Tristan Vizcaino K | CIN,@SEA,10,9,0,0,N/R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
FA,Dan Conroy K | FA,BYE,---,0,0,0,N/R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
FA,Matt Bryant K | ATL ,@MIN,29,9,43,28,N/R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
FA,Matthew Wright K | PIT,@NE,9,7,0,0,N/R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
FA,Cole Murphy K | ARI,DET,2,12,0,0,N/R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
FA,Greg Joseph K | CLE ,TEN,16,7,6,3,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
FA,Phillip Andersen K | TB,SF,23,7,0,0,N/R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
FA,Jared Roberts K | FA,BYE,---,0,0,0,N/R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
FA,Chandler Catanzaro K | NYJ,BUF,13,4,3,1,N/R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
FA,Kai Forbath K | JAC,KC,6,10,0,0,N/R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
FA,Marshall Koehn K | NYG,@DAL,24,11,0,0,N/R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
FA,Matt McCrane K | PIT,@NE,9,7,1,0,N/R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
FA,Anthony Cantele K | FA,BYE,---,0,0,0,N/R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
FA,Andrew Furney K | NYJ,BUF,13,4,0,0,N/R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
FA,Caleb Sturgis K | LAC,IND,20,12,2,0,N/R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
FA,Dan Bailey K | MIN,ATL,14,12,29,15,N/R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
FA,Sebastian Janikowski K | SEA ,CIN,32,11,36,28,N/R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
FA,Corey Acosta K | SF,@TB,22,4,0,0,N/R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
FA,Phil Dawson K | CLE,TEN,16,7,2,0,N/R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
FA,Cody Parkey K | CHI,GB,21,6,15,9,N/R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
FA,Cole Hedlund K | IND,@LAC,8,6,0,0,N/R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
FA,Anthony Fera K | FA,BYE,---,0,0,0,N/R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
FA,Nick Rose K | LAC,IND,20,12,0,0,N/R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
FA,Mike Nugent K | OAK,DEN,25,6,0,0,N/R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
FA,Elliott Fry K | CHI,GB,21,6,0,0,N/R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
FA,Brad Craddock K | CLE,TEN,16,7,0,0,N/R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
FA,Chase McLaughlin K | BUF,@NYJ,31,6,0,0,N/R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
FA,Joey Slye K | CAR,LAR,17,7,0,0,N/R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
FA,Chris Blewitt K | CHI,GB,21,6,0,0,N/R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
FA,Jaden Oberkrom K | CLE,TEN,16,7,0,0,N/R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
FA,Jon Brown K | SF,@TB,22,4,0,0,N/R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
FA,Roberto Aguayo K | LAC,IND,20,12,0,0,N/R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
FA,Sam Ficken K | GB ,@CHI,7,11,0,0,N/R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
FA,Matt Gay K | TB ,SF,23,7,3,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
FA,Redford Jones K | CHI,GB,21,6,0,0,N/R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
Report Updated as of  8/23/19  5:49 PM EST
